Question,Count,Answered,Rating
i am having trouble signing on a a new user,1,true,
my account is lock how can i unlock it,1,true,
i am a new student need help with sign on,1,true,
and my sign on account is locked,1,true,
help with uis signon,1,true,
a visitor parking pass,1,false,
parking permit for visitors,1,false,
my recovery question is not registering with the system to unlock my account how can i fix my recovery question,1,false,
my recovery question is not working to unlock my account,1,false,
how to create an account for uis,1,true,
hi johnny i am an old student at st johns,1,false,
i need access to my account to check something,1,true,
i followed the directions for the email but it still seems to be wrong,1,false,
i am an alumni graduated on 2013 and i dont remember whether i have a signon account,1,true,
how can i find out,1,false,
which password do i use to login to my signon access portal for the first time,1,false,
whats the sjumobile wifi username and password,1,false,
sjumobile username password,1,true,
wifi,19,true,
sju mobile wifi,1,true,
need help with okta verify,1,false,
help with okta,3,true,
dont have access to okta,1,true,
i dont remember my sign in answer,1,true,
i forgot my recovery question,1,false,
im trying to sign into my account for the first time but it redirects me to the forgot my password,1,true,
i dont even remember making a password so how was i supposed to remember it,1,true,
especially if my storm card id wasnt working,1,false,
hi can i add a phone number to my uisam account,1,false,
i meant uis account,1,true,bad
how can i reset the account password,1,true,good
i am locked out of my account i am a new student,1,true,
i am a new student,2,true,
i have been locked out of making an account,1,true,
not receiving sms code,1,true,
what do i do if i forgot my username for uis,1,false,
how do you unlock your account,1,true,
im in a foreign country and the sms for the authentication isnt coming in for me to be able to access my st johns email on my computer,1,false,
my default password has changed i dont remember it and the only way i can access my account is through the two step authentication and it is not coming in,1,false,
locked out and cant submit my graces,1,true,
the code is not working,1,true,
how to login into uis,2,true,
im not getting a code through my email to change my password,1,false,
okta,11,true,
how to add email to phone,1,false,
add email account to iphone,1,true,
how can i rest my account using email,1,true,
unable to reset password,3,true,
i want to apply for this program,1,true,
my name is emma bernard,1,true,
can i still log on if i graduated in 2009,1,true,bad
i am the new international student with email id kranthigattu23mystjohnsedu,1,false,
i cant able to login,1,true,
i am a new user i cant able to login the portal,1,true,
accepted students showingthis site cant be reached,1,false,
i am not able to login in the httpssignonstjohnsedu,1,true,
i have tried however it is not workingcould you please provide the email address to report the incident related to login,1,true,
for report the issue i need to login but it is not working,1,false,
alumni login,5,true,
im signing on for the first time but my login name and password are not working,1,true,bad
i need help to sign in to uis,1,true,good
im an incoming first year student its giving me an error when i try to log in to my account im trying to log in for the first time,1,true,
i forgot my username,8,true,
what is the first time password,1,false,
how do i make an account,3,true,
cant ansswer my security question,1,true,
i cant get into my financial aid portal can you help me,1,false,
im not sure what to use as my username for the signon website in the instructions it said my email will be listed in the uis account but i couldnt find it,1,true,
i was a former student how can i access my records,1,false,
i dont have access to my for authentication,1,false,
i cant reset my password because i dont have an american phone number,1,false,
unable to reset password please help,1,false,
im an accepted student trying to access my financial aid plan i have my id number and cannot sign on,1,false,
locked out trying to sign in for the first time,1,true,
how can i access for files,1,true,bad
alumni access files,1,true,bad
i cant log into my student portal,1,true,
how do i make an account with signon,1,true,
install okta in new phone,1,true,
how to add a phone number,1,false,
live support,1,true,
how do i access my email,5,true,
i cannot log into my account,1,true,
i need help setting up my new account with my new st johns email,1,true,
i am unable to log in to the housing portal,1,false,
i followed the instructions in the video and it is not working,1,true,bad
i did all of them but i forgot my security question code,1,false,
i forgot my password i tried many times and its locked to unlock my account i forgot my security question,1,true,
why are my credentials not working to sign in to the housing portal,1,false,
i am a faculty member i called it but they are not answering,1,false,
is there any number i can call to resolve this issue,1,true,
what kind of help are you able to offer because i need someone to help me with personal information and give me this security question i forgot,1,false,
hola papi,1,true,
amar nunu kaba,1,true,
is this school worth it,1,false,
how do i log in to st johns housing portal,1,false,
i been trying to log on but it keeps telling me to change my pin,1,true,
i put my x number in and it still isnt working,1,true,
im a former student and need access to my email,1,true,
my uis account is disabled,1,true,
it number,5,true,
not letting me login to my new account,1,true,
wait,2,true,
ive already unlocked my st johns email but it wont let me sign in,1,false,
i need my user id is it my uis,1,false,
i cant unlock my account for my housing portal,1,true,
i never got an verification code to unlock my account,1,false,
i got an email from an administrator saying my account was going to de activate is this a scam i never requested this what should i do,1,true,
chat with it,1,true,
my password isnt working but ive never signed in before,1,true,
i am retired faculty still serving on the sju irb committee ken mahlmeister tells me that i still have a sju account but my password does not work,1,false,
im a new user idk what my password is,1,false,
signon attempts keep failing i am a first time user,1,false,
sign on,13,true,
hi i am trying to change my password because i forgot it but when i enter my email i never get a verification code sent to me,1,false,
im having trouble verifying my account,1,true,
i cant get into my account,3,true,
i am not getting an sms message when i try to login,1,false,
how to create an account for admitted students,1,false,
how can i view my financial aid package,1,true,
financial aid,47,true,
this error message request id 1f300c0c02b34e97a3859b9c5e140400 correlation id b3d67408c46942a0891fa432add580ae timestamp 20230505t142048z message,1,false,
im trying to sign into my account to complete my general application for scholarships and i dont know my email and passoed,1,false,
im locked out of my email and my phone isnt set up,1,false,
i need help with retrieving my email i forgot my username and password my email is irenejoseph03stjohnsedu i forgot everything after that,1,true,
i am having trouble logging with signonstjohns,1,true,
first time registering,1,true,
locked out of account,14,true,
i cant sign in for the placement exam,1,true,
i accidentally locked my sign on account and i am currently studying abroad so i cant use my phone number to get the verification code to sign back in,1,true,
my sign in for placement exams is not working,1,false,
sign in information isnt working,1,false,
im trying to log into my account for the first time,1,true,
how do i get okta verify qr code,1,false,
im trying to unlock the account but i forgot the security question,1,false,
i forgot my id number to sign on to uis,1,false,
i am an alumni,2,true,
forgot security question for log in,1,false,
i don remember my security question,1,true,
hey i received my email but not my password where should i go to see it,1,false,
hello i do not know my st johns email address,1,true,bad
activate account,1,true,
unlock my account,9,true,
new student setting up account,1,true,
i cant log in on my health portal,1,false,
i do not know my password for this website httpssignonstjohnsedu,1,true,bad
i do not know my password,1,false,
i dont know how to access my email,1,true,
i need to access the medical forms for my inbound exchange program,1,true,bad
i cannot login through this link httpssignonstjohnsedu,1,true,
who will help then,1,true,
it says sign in fail,2,true,
why am i not getting a sms code,1,false,
i cant sign in to signonstjohnsedu,1,true,
it said sign in failed while trying to sign in,1,true,
can i reset my password here,2,true,
it wont let me sign in,3,true,
when does student signon andor outlook email account expire,1,true,bad
every time i try to sign into my account it says sign in failed,1,false,
i cant log in to mysju because i changed my phone number,1,true,bad
i changed my phone number,1,true,
so i cant verify my account,1,true,
want to add my phone number to account to get sms code to unlocki account,1,false,
i need to access my email,1,true,
reset password,11,true,
okta verify,16,true,
im having trouble getting my sms from the sign on page,1,false,
setting up your school email for the first time,1,true,bad
why is it sending me to unlock my account,1,false,
why is it telling me to unlock my account,1,false,
my security question is wrong,1,false,
can you help me figure,1,true,
help me find my username,1,false,
alumni forgot password,1,true,
its saying my security code answer is wrong,1,false,
it says my security code answer is incorrect even though its nit,1,false,
answer unlock account challenge,1,true,
what do i do if my st johns email is not working when i try to log in,1,true,
unable to log in to uis,1,false,
im an alumni trying to sign into my uis acciunt,2,true,
i am freshman and trying to log in i forgot my password but my phone was never submitted for a verification i am not sure how to log in,1,false,
employee directory,23,true,
directory,9,true,
first time signing in,2,true,
im trying to sign into housing portal but i dont know how,1,true,
i am not receiving a reset code via sms,1,false,
conference,1,true,
how do i activate my account,2,true,
how do i get my unique id for sign on,1,true,
it wont let me log in for the first time,1,false,
i forgot both user id and password,1,true,
why cant i sign on to my uis account,1,true,
i am a new law student,1,false,
whaty,1,false,
how do i sign on to uis for the first time when i have not yet accessed my university email,1,true,
i need to find my transfer credits,1,false,
i am unable to sign into my email,1,false,
i need help signing into my st johns email,1,true,
open st johns account,1,true,
assistance,1,true,
chat,4,false,
contact support,1,true,
agent,67,true,
help,26,true,
contact,9,true,bad
i cannot log into my email,1,false,
hi,173,true,
hi i need to order a trascript but i do not remember my logon information,1,true,
how do i connect to wifi,3,true,
how do i access signon,1,true,
how do i connect to wifi as a guest,1,true,
how do i get technical support,1,true,
i have no password for my httpsignonstjohnsedu,1,true,
how do i get email for the first time,20,true,
i am new to sju how do i sign on,1,true,
i cant login in my httpssignonstjohnsedu,1,true,
i cant log into my email,1,true,
new phone cant do okta varify,3,true,
my sign on keeps failing even though i am putting in correct user name and password,1,true,
i am not a first time user,2,true,
i am having trouble logging into to my sign on account,1,true,
how do i sign up for classes this is my first year,1,true,
how do i log in to my account,3,true,
hi im trying to register into my classes for my upcoming freshman year and i cant log into my account because it says i need permission,1,false,
im a new student and im unable to access my email,1,true,
it denst work,1,true,
cant log into my account,1,false,
cant log in,8,false,
i cant sign onto the portal,1,true,
hi im trying to unlock my account to register for classes but whenever i enter my email it says i dont have permission to perform the action,1,true,
my sign accounts sign in page takes me to the unlock account page after signing in there is no verification or sms text received ever,1,true,
can someone in it call me about it tomorrow,1,false,
i am trying to unlock my account but my number is not configured in the system,1,true,
hi i need to log into my email but can not do it,1,true,
changes computer forgot password,1,true,
dont see that page,1,false,
i am unable to log into my account,1,true,
signing into st johns account first time,1,true,
i am an alumna trying to access my account to receive an official transcirpt and copy of my degree,1,true,
it tells me that my login failed,1,false,
can a real person help me,1,false,
what email address,1,true,
contact email for it support,1,false,
unlock account,30,true,
hi i am trying to acess my account but it keeps saying my security question answer is worng but it is correct,1,false,
i am an alumni wanting to sign in to my old student account,1,true,
log in,19,true,
uis login,5,true,
im an incoming freshmen and i cannot log into my email for first time,1,true,
i am unable to log into my outlook canvas,1,false,
i need to order a new transcript,1,true,
login to email,2,true,
im trying to log into my account but it will not let me,1,false,
im not currently a student i graduated a while ago,1,true,
i cant log in my outlook,1,false,
my outlook account was lock,1,false,
why cant i log into mysju account,1,true,
link to livesafe,3,true,
how do i apply,111,true,
log into student account to get transcript,1,true,bad
alumni email,5,true,
why cant i login to mysju account,1,true,
i am a new student at st john and cannot log into my email,1,true,bad
i need to speak with a person,1,true,
i ned to log into uis,1,true,
i cleared the cookies to log in to uis still cant log in,1,false,
uh oh indeed,1,true,
what do i do if i am locked out of my okta verify,1,true,
i cant get into my sthohns account,1,false,
i dont know what my username is,1,true,
i dont know my password,2,true,
cant sign on,2,true,
i want to make my class schedule for the fall 2023 semester but some of the classes that i need are not allowing me to add them to my schedule,1,true,
how do i unblock my account,1,false,
my uis is,1,true,
it is blocked,1,true,
my sms code is not being sent what should i do,1,true,
how to submit a ticket,1,true,
hi are you chtgpt powered,1,false,
i took a course through st johns in high school and want to send it to a different colleg,1,true,
view transcript,2,true,
have a question regarding email addresshow long is it good for after classes have ended,1,true,
thank you,161,true,
i cant seem to log in,1,true,
its my first time,1,true,
i cant figure out the question to my multi factor authentication,1,true,
hi there i need my unofficial trnascript i dont remember my username or password,1,true,
i cannot activate my email account i am a new student,1,true,
unlock email,3,true,
help me unlock my email account,1,true,
cannot log on to my email for the first time and now it is locked,1,true,
live chat,480,true,
need help logging into account,1,true,
i do not get send a reset code,1,true,
i do not get the option to enter my phone number,1,true,
how do i log onto sju mobile,1,true,
first time sign in is asking me for 2fa even though its not set up,1,true,
having trouble signing into portal,1,true,
i am an alumni and need to get my transcript,1,true,
cant sing in,1,false,
forgot email address,1,true,
alumni login to email,1,true,
sign in failed outlook,1,true,
reset security question,1,true,
i cant log in no matter what i do this is my first time logging in as a new student,1,true,
thank you the number you have given does not have a live person for assistance,1,true,
thanks,56,true,
been locked out of my email,1,true,
nope trying to access now,1,false,
new student log in details,1,false,
i need my user name,1,true,
hi i am trying to reset my password but the sms message is not going to my phone,1,true,
theyre closed,2,true,
thats why im messaging you,1,true,
can you help me,2,true,
can you help me reset my password,1,true,
i got locked out of my account and i need to get back in,1,true,
my outllook account is locked,1,true,
i am having trouble signing in but i am inputting the correct information,1,true,
i am not gettinng a call,1,false,
or an email confirmation,1,true,
how do i make a student account,1,true,
email password is not working,1,false,
unofficial transcript,15,true,
my account got locked i need help with unlocking it,1,true,
hello i am having issues signing on to bswift,1,true,bad
how to find uis number,1,true,
cant receive sms message to logon but need a way to sign in,1,true,
i dont know how to sign in,1,true,bad
live assistance,2,true,
accessing email for the first time,1,true,
mobile app,1,true,
where can i find the mobile app,1,true,
im a new student and cant log onto the email,1,true,
i can,1,true,
i cant create a password,1,true,bad
im a first time user,1,true,
i changed the pin,1,true,
and the email still doesnt work,1,true,
can i get a live person please,1,true,
accessing my email as an alumni,1,true,
i do not remember my username,1,true,
looking for i number,1,false,
resetting my account,2,true,bad
i am locked out and am not getting a sms text,1,true,
find email,1,true,
my sju emai,1,true,
forget password,2,true,
forget email password,2,true,
cant get into uis,1,true,
my passwords doesnot work,1,true,
i am a new student and the preset account login for my sighon account is not working,1,true,
my new student preset signon password is not working,1,true,bad
held getting into my portal,1,true,
webex for ce,1,true,
i forget my username and password,1,true,
i need to get an unofficial transcript from sju but i transfered back in 2014 to another school,1,true,
i was locked out,1,true,
i dont remember my user id and password,1,true,
havent been in school for 10 years,1,true,
hi i am a student alumni attended sju 20122016 and i have forgotten both my emailusername and password,1,true,
forgot my username and password,1,true,
forgot email and password,1,true,bad
how do i log in with my email,1,true,
how do i activate my email,1,true,
passowrd for sju websitw,1,true,
my account got disabled and i need help logging back into it,1,true,
i did not forget my pin i just need to be given access to the account again,1,true,
my u connect dosent work,1,true,
hello i cannot assess my account,1,false,
i cant sign on as i do not know my username and password,1,true,
it is still saying sign on failed,1,false,
how do i put in a request ticket,1,true,
unlock uis,3,true,
uis,110,true,
my uis account is locked,1,true,
i need help unlocking my account,5,false,
it is asking for a security question that i never made,1,false,
how can i reset the signin question,1,true,
what do i do,1,true,bad
ive been locked out,1,false,
talk to agent,6,true,bad
i cannot sign in to my account,1,true,bad
forgot email password,1,true,
forgot password,13,true,
ive started a grad application but im unable to submit it because it keeps saying that i did not select a program area of study when ive already done so,1,false,
is there a live agent i could talk to,1,true,
i am locked out of uis,2,true,
why is my account saying failed whenever i sign in,1,true,
how do i unlock my account if i cannot answer the security question,1,true,
greetings,2,true,
hi idk my login,1,false,
customer service plsss,1,true,
locked out from outlook,1,true,
hi johnny,27,true,
password not working,3,true,
cant access my account,2,true,
im trying to reset my password but i dont have access to the number on file,1,true,
i cannot sign into okta,1,true,bad
i am trying to log in so that i can request a transcript,1,true,
i cannot log in,4,true,
how does an alumnus request an official transcript,1,true,
how can oi log into my st johns email,1,true,
how cn i reset my password,1,true,
i need help logging in to my uis account,1,true,
i forgot my password,28,true,
cant login to health benefits,1,false,
my access has been disables to the sju uis i am a former student who needs a transcript can you reset my access,1,true,
i am a graduate of st johns and i am trying to access my records,1,true,
i am a graduate of st johns and i am trying to access my transcript,1,true,
how do i configure a phone number yo my signon,1,true,
i cannot unock my account,1,true,
i need to signin for the first time,1,true,
i am not getting two step verfication,1,false,
whats the weather today,1,false,
whos the 5th president,1,false,
solutions signon,15,true,
solutions wifi,113,true,
solutions technology new student,1432,true,
i do not remember my answer to the security question that shows up after i type in the code given for forgotten password,1,true,bad
live agent,119,true,
how do i know my username,1,true,
i dont have a phone number linked to help me reset my password,1,true,
how do i get a transcript,2,true,
is there a phone number i can call to reach a transcript office,1,true,
my unlock question is wrong,1,true,
im having trouble signing in to my school email,1,true,
my account is locked and it is not senifng me a code,1,true,
the place for my unsername and password doesnt come up when i try connecting to csbsju,1,true,
i locked myself out of my account,1,true,good
cant get into okta verify because app got deleted on ios,1,true,
help me,2,true,
i dont have access to the email,1,true,
how to sign into okta verify,1,true,
locked out of my account,3,true,
my account is locked how do i unlock it,2,true,
i dont have a phone number associated with my signon to reset my password,1,true,bad
whats my sju email,1,true,
i need to unlock my account,9,true,
i dont know my st johns email,1,true,
what pin is needed for uis,1,true,
how can i sign onto uis if i graduated a few years ago,1,true,
this page doesnt open,1,true,
the link you provided doesnt open,1,true,
sign on for alumni,1,true,
this link does not open,1,true,
i am trying to log into my uis,1,true,
and i cannot,1,true,
can i access school email after graduating,1,true,
can you confirm if my email is correct,1,true,good
email,53,true,
i cant sign in to my sign on portal,1,true,bad
it asks me to unlock my account,1,true,
i need more help,1,true,
logging in to uis i cannot reset password,1,true,
hi i cant log into my account,2,true,
my account locked but i dont have my phone number connected how can i unlock it now,2,true,
issues signing in the first time,1,true,
im trying to reset my password but it wont do it through my email and will only do it through text which i have not set up,1,true,
solutions technology notyeta student,1335,true,
yes but the password reset wont work on uis,1,true,
some chat bot,1,true,bad
who do i call to get my password and usename for the uis,1,true,
i forgot my username but i know my email,1,true,bad
i forgot my username for the sign in order for me to unlock my account,1,true,
why can i sign into my account,1,true,
log in assitance,1,true,
solutions signon first time,751,true,
dont remember my password,1,true,bad
about logging into the housing portal,1,true,
where can i find my credentials,1,true,
problem signing into account,1,true,
i am unable to sign into my law school st johns email,1,true,
i am unable to login,1,true,
yes it is not working,1,true,
hello would you please give a step by step instruction to change phone number of authenticator,1,true,
i seems have issue to login httpssignonstjohnsedu,1,true,
couldnt sign in,1,true,
solutions technology wasa student,1248,true,
i seem to no longer have access to the library databases and uis previous passwords that have been used no longer work,1,false,
i am a former student and want to retrieve my log in details to check my date of enrolment and graduation various courses and gpa,1,false,
transcript,77,true,
i dont remember answer to my security question,1,true,
im sju alumni,1,true,
i need help with my email access,1,true,
logging in to old email,1,true,
need help reseting my password to log into my email,1,true,
im trying to log in to pick my room but i dont know my username and password,1,true,
i cant access my uis,1,true,
download adobe,1,true,
hey i took a college course in my school in behalf of st johns i need my transcript,1,true,
so should i email them or,1,true,
i cant si go in to my account,1,true,
solutions unlock account,154,true,
logging in to uis,1,true,
need to unlock account,5,true,
hi need to reset my password,1,true,
im a an alumini,1,true,
i need help logging in to my account,1,true,
i cant sign in to uis,1,true,
i forgot password and tried 5 plus times and dont recall the answer to the account recovery questions,1,true,
wont let me set up sms authentication,1,true,
i recently got accepted into the consortium and i cannot sign in,1,true,
im not able to log onto my st johns account,1,true,
i got my email but with no password,1,true,
cant log into sign on always showing login failed my password and account is same,1,true,bad
i can trying to get into my student sign on account,1,true,
how do i unlock my account without my email,1,true,
solutions transcript,669,true,
dont remember uis,2,true,
solutions alumni email,465,true,
hello i am unable to access my email for the first time,1,true,
what is i dont have storm card number,1,true,
i am unable to unlock my account,1,true,
password help,2,true,
i need a representative,1,true,
need help resetting my password,1,true,
the number for it,1,true,
hello i am a new student,1,true,
i need help to log in to signon,1,true,
how to i transfer my college credits that i got in high school,1,true,
does your email have to be the year you graduate,1,true,
how to figure out what tour email address is,1,true,
real person,2,true,
why isnt my password reset email not being sent,1,true,
i am not getting the sms or voice call to unlock my account,1,true,
they are closed,1,true,
today is sunday,1,true,
can i get tech support on sunday,1,true,
i am not getting the text or voice call i need to unlock my account,1,true,
its not giving me the option to sign in using okra,1,true,
im having trouble accessing sign on,1,true,
how do i set up okta verify,2,true,
i dont have sms service how do i log into my accountt,1,true,
i forgot the answer to the password set up question,1,true,good
reset okta,2,true,bad
issue signing in,1,true,
i am trying to reset my university password my secret question answer is not recognized now i cannot unlock account,1,false,
i forgot my password on sign on,1,true,
cant sign in,4,true,
i forgot the answer to my recovery question,2,true,
new computer cant set up printer,1,true,
that logon isnt working for me,1,true,
could you please help me to unlock my singon account,1,true,
i am a new student but i cant login because i cant remember my stjohns email,1,true,
my name is shaheer noory if that helps at all,1,true,
talk to a live person,1,true,
access account,2,true,
connect to someone,1,true,
talk to live person,1,true,
i cant log in to my account,2,true,
my token is not working,1,false,
what is the it number,1,true,
i need help changing my security question,2,true,
i dont know my password to my saint johns email,1,true,
how to i register for classes,15,true,
how to know who is my adviser,1,true,
i cant see my grade on parchment,1,false,
who is my student adviser,1,true,
where can i go to register for classes,1,true,
what classes do i have,1,false,
i need access to look at my unofficial transcripts,1,true,
i dont know my username or password,2,true,
is there a way i can get access to it for 1 more month,1,false,
can you help me to login to uis i am a hs teacher from the bridge program,1,false,
it doesnt work,8,true,
i log in and i have to enter a code send via message,1,true,
bit i didnt received any code,1,false,
unable to login,4,true,
how can i unlock my account,3,true,
how to configure a phone number,1,true,
i am having trouble logging into my uis account i tried to recover my password however i did not get a verification code for my email,1,true,
i am not receiving sms to reset my password,1,true,
when is the service desk open,1,true,
i cannot remember the security question,1,true,
livechat,15,true,
i cannot access the website to find my storm card,1,true,
cant find our school parchment,1,true,
parchment,40,true,
i forgot my recovery question answer,1,true,
high school credit,1,true,
customer service,11,true,
i forgot my signon password,1,true,
thats not working,1,true,
i need help accessing my uis account,1,true,
but i forgot the password and cant login through sms or voicemail because my old phone number doesnt work,1,true,
i have called them but they are unable to assist me through the automated message,1,false,
help with email username,1,true,
how do i know my sj number,1,true,
i dont have a photo id card yet,1,true,
i am having issues connecting to the guest internet,1,true,
can i chat with an agent,1,true,
sign onto financial aid,1,true,
esports,3,true,
technology commons,4,true,
computer labs,2,true,
reset passwiord,1,true,
not working,7,true,
help with signing password,1,true,good
wifi issue,1,true,
what is user name,1,true,
forgot my passwoed,1,true,
forgot my email,1,true,
unenroll,2,true,
resetting password isnt working,1,true,
it phone numbr,1,true,
i am locked out of my account and even after updating my account last week sms will still not contact me i am still locked out and my new password wont work,1,true,
i dont know my st john account password,1,true,
i need to reset password to recover phone contacts but graduated in 2020,1,true,
how do i reset my pin,2,true,
it says acess forebidden,1,false,
i got a new computer and cannot sign in,1,true,good
my security question answer is wrong,1,true,
why wont my password reset link send,1,true,
cannot log into global protect,1,true,
logging into my email,1,true,
my account was locked and i dont remember the password for the security questions,1,true,
what can i do,2,true,
unlocking my account,2,true,
i am out of usa right now and i need to login to my account but i cant because it needs the cod that they send to my phone,1,false,
request email after graduate,1,true,
i graduated in 1990 can i use parchment,1,true,
it didnt work,1,true,
it said that i enrolled before 1990,1,true,
ordering transcripts prior to 1990,1,true,
i dont remember my login,1,true,
forgot password does not send a text message,1,true,
i need help with unlocking my signs portal,1,true,
there is nobody to help me when i call them,1,true,bad
i am looked out of my uis account and there is no one to speak to at the help desk how can i unlock the account,1,true,
i do not know my uswername or password,1,true,
i dont remember my student email,1,true,
i forgot my studemnt email,1,true,
how do i apply for diploma,1,true,
how do i unlock my account if i am not getting any sms codes when i try,1,true,
my account appears to be locked and it is not accepting the answer to my security question,1,true,
doestn let me log in,1,true,
representative,35,true,bad
representativer,1,true,
unable to sign on,2,true,
student,10,false,
please give me the email address for the it department,1,true,
can you please give me their email id,1,true,bad
i am not able to see the email as it is protected,1,true,
but i need the email as i am unable to call internationally,1,true,
i do not know my x number,2,true,
i have graduated a long time ago,1,true,
new phone and downloaded okta verify where do i find the qr code,1,true,
reactivate account,1,true,bad
i forgot the answer to my challenge question at my email,1,true,
i cant i need to register a new phone for okta verification,1,true,
moved to a new phone i want to install okta,1,true,
can parents get a login,1,true,bad
unlock my email account without phone number,1,true,
locked out,3,true,
call me,3,true,
submit request,1,true,
cant log on,1,true,
unlock,1,true,
account,5,true,
where is the center for student success located,1,true,
where can i schedule an appointment with student health services,1,true,
i am a past student needing to reset my email password,1,true,
i need help signing in,5,true,
talk to a person,1,true,
who can i email for sign in help,1,true,
cant access my sigon change number,1,true,good
what are the prerequisites for cpp 4301,1,true,
need help acesing email,1,true,
can you tell me the nam of it administrator,1,false,
i do not have a storm card id number,1,true,
i want to access my email but im having trouble unlocking it because the phone number i had linked to my account is no longer in use,1,true,good
uis password reset,1,true,
how long will it take to coplete the masters program,1,true,
how long will it take to complete the masters program for cyber security,1,true,
the major area requirements,1,true,
thanks johhny,1,true,
thanks johnny,3,true,
thsnk you,1,true,
i need to reset my password and user id,1,true,
i unable to change password,1,true,
how do i get a storm card id,1,true,good
sign on st johns login,1,true,
cannot log into uis,1,true,bad
can,2,false,
i took a class but did not attend how do i get my transcript,1,true,
where can i use a computer,1,true,
computer lab,2,true,
where is the computer lab,1,true,
it is not allowing me to sign in following those instructions,1,true,bad
how do i get on a waitlist for classes,1,false,
my account was locked,1,true,
how do i unlock it if i have not previously registered,1,true,
i need a copy of my transcript,5,true,
im trying to order on parchment but it wont let me put the state in is there anyone i can speak to,1,false,
how do i configure a phone number,1,true,
solutions setup mfa,7,true,
i cannot sign on to the account on my okta verify app,1,true,
my account is unlocked however i am not able to add the account to the okta app,1,true,
adding second authentication method,1,true,
help with setting up secondary authentification,1,true,
how can i reset the autheritication,1,true,
how do i reset the okta app,1,true,
solutions reset mfa,139,true,
where can i find the qr code for okta,1,true,
where is it on the website it does not open on my computer,1,true,
i am abroad and am not able to call i cannot access my email online,1,true,
lost password,1,true,
representative please,3,true,
i am trying to log in and cannot,1,true,
what is my sign on password as a first year student,1,true,
sport science,1,true,
i cant log into signon,2,true,
im trying to set up my email,1,true,
im a transfer,1,true,
i dont have my card,1,true,
human,15,true,
hi i am an alumni i need to access my stjohns email but it is locked and i can not figure out the security question,1,true,
i need to gain access to information on it,1,true,
forgot my email login credentials,1,true,
i am an old student and forgot my email login,1,true,
solutions signon first time student,555,true,
microsoft word not working on mac,1,false,
cannot log in email,1,true,
live chat it agent,1,true,
i do not have my storm card id,1,true,bad
i do not have my stormid,1,true,
