Cluster Name,Frequency,Questions Count,Questions
Speaking to a live agent or human representative,452,187,"Live agent
Agent
Human
Speak to someone
Speak to an agent
Talk to agent
Live
Speak to a representative
Live person
Can i talk to someone
Speak to a live agent
Live representative
Speak to representative
Live help
Can i speak to a live agent
Can i speak to someone
Talk to an agent
Can i speak to an agent
Can i speak to a representative
Speak to live agent
Talk to a representative
Live assistance
Real person
Chat with an agent
Please get me a live rep
Can i talk to a real person
Can i contact someone
Operator
I need to speak with someone
Talk to someone
Live rep
Can i speak to a real person
Speak to a real person
Can i speak to a live person please
How can i talk to a real person
I need urgent help i want to talk with human
I need to talk with a human
Live support
Can a real person help me
I need to speak with a person
Thank you the number you have given does not have a live person for assistance
Can i get a live person please
Is there a live agent i could talk to
Some chat bot
I need a representative
Talk to a live person
Connect to someone
Talk to live person
Can i chat with an agent
Talk to a person
Live chat it agent
Can i get a human now
I need help from a human
I need someone else
I want to chat with someone
Visiting live chat
I want to talk to a representative
Connect with agent
Can i speak to a live chat
Live assist
Talk to representative
Can i talk with someone
Agemt
I would like to speak to a specific live agent
Can i chat with you
I would like to speak to a live agent
Talk to person
Connect me to a gaent
Can i speak to a human over chat
Others
I would like to speak with an agent
Can i speak to a live representative
Can i get a human
I would like to speak with a human
I would like to speak with a live chat
Contact person
Contact someone
I need to talk with agent
Can you connect me to a live agent please
Can i talk to someone about thata
Live services
An actual person
I would like to call someone on campus
I want to speak with someone
Speak with agent
I need a someone to assist me
Could i talk to a human
Id like to live chat with an agent
I need to talk please
Is this a live chat
Connect me to an agent
Anyone specific
Speak to somone
Can i chat with a representative
I want to chat with a real person
I want to speak to an agent
I would like to contact a real person please give me an email address that i can contact somebody
Live operator
Can i speak to a person please
I need to speak to an operator
I need to speak to a human being
When is human live chat available
Speak to somebody
Human being
Live help please
Can i talk to a live person
Cant i talk to a person
Can i speak to a live assistant
Can i talk to an agent
I need to speak to live agent
Please chat with an agent
Can i speak to a person
Is there a contact personnumber
I want to talk to a real personsorry buddy
So i have to wait
Connect to an operator
Connect me to live agent
You are not understanding i would like to speak to a live agent i am not a student
Ere
Human help
Live agent please
Chat with live agent
Speak to a human
Can i get live chat help
Speak to a real human
Connect
I want to talk someone
Speak to a represenative
Can i get a live agent
Speak to rep
Speak to agent
Can you try getting a live agent
I need a person
Registrar agent
May i talk to a live agent
Can i speak to a human
Can i chat with a live representative
How do i connect with them
I want to chat with agent
Speak
How do i reach them
May i speak to an age t
Hi i would like to speak to a representative
I want to talk to a residence life person
Agent needed
Please connect me to an agent
Can you bring someone here for me to speak to
Can you just bring someone in for me to speak to
Speak with live person
Live agents
Customer agent
Would you connect me to an agent who can help me access my account
Talk to technician
Can i speak with a live chat person
Speak to person
Agentlive
Can i talk to a person
Speak with an agent
How can i speak with a real person
Who is available right
I need a live person to talk to
May i live chat with a staff member
Repressentative
Speak to a person
Itlivechat
Do you have contacts
I want to speak with a staff rep
Agent please
Agnet
Can i get transferred to a person
Talk to live chat
Talk to live agent
I need to speak to a representative
Human contact
Can i chat with someone live
Please connect me to a live rep
Connect me to live person
How do i reach a live person
Is there a way for me to talk to a real person right now
Lleave me alone
It agent
Person
Can i talk to a human
Can i speak with real person
Is there a way to speak with a real person ver the chat
Live chat with an agent
I need agent"
Expressing gratitude,388,82,"Thank you
Thanks
Ok thanks
Ok thank you
Thank you so much
Yes thank you
Okay thank you
No thanks
Thx
Yes thanks
Ty
Thank u
Thanks johnny
Thanks a lot
Okthanks
Tks
Thank you very much
Oh thank you
Thank you dear
Alright thanks
Thank you johnny
Thanks johhny
Problem solved thank you
Thank you i will
Thank you and have a good day
Thank yiu
No thx
Thank you for letting me know
Ok thank you johnny
Ohk thank you
Okay thanks
Thank you for your infomation
Thank you have a great day
Nothing thank you
Tyy
Ok tks
Done thanks
I will thank you
Thanks dear
Thank you that is all
Thank you and god bless you
Thank you for the information
Have a nice weekend
Got it thank you
Thank you for your assistance
Alright thank you
Ok thank you very much have a good day
Thanks bbg
Wow thank you
Thak you
Yes tks
Ok thank you so much
Okay thank you for your help
Yes and thanks
Thank you and god bless
You are a life saver
Yes thank very much
Awesome thank you so much
Thank you same to you
Yes thanks a lot
Okay thank you so much
No thank you again
Okay thankssssss
Okthank you
Thnx
Thats all i needed thank you
Seriously thanks for nothing
O thank
T y
Got it thanks for your response
That is great thank you
I am good for now just browsing thank you
Thank you so much for your help
Thanks you too
Yes thank you very much
Every thing is fine thank you
Thank you for your help
I dont need your help bro
I e
Non for now thanks
Thank you and i will call tomorrow
No thank you"
Applying for something,247,43,"How do i apply
How to apply
Apply
I want to apply
How can i apply
Where do i apply
Want to apply
Where to apply
Where can i apply
Where can i register for st johns university college application program
Where can you apply
Hey johnny my name is aj wilson um how do i apply to st johns
Where i apply
Where can i fill out an application to apply
I would like to know the faculties available in st johns university
I need to apply
Can anyone of different religious background attend to st johns university
How to attend to this school
How can u get scholarships for saint johns
How do you apply
Hi i am considering an application
I would like to teach at st johns university
Please how can i apply
How can apply
I would like to visit st johns university this spring
I would like to find out about visiting st johns for a prospective student
How can i apply at st johns university and what are the requirements
Hi can you give me some infomration on how to apply
Link to apply
Im trying to apply for
Application for st johns university
I wanna apply for
How to aply
Apply to st johns
Where is the apply here
How do i apply to it
How i apply
I dont know how to apply
How may apply
How can i apply to
I will like to appy
How can i apply for st johns
Im looking to apply"
Ordering and requesting transcripts,188,65,"Request transcript
Request a transcript
Order transcript
How do i request a transcript
Order a transcript
How do i order a transcript
Request transcripts
Order transcripts
Request my transcript
How do i request my transcripts
I need to request my transcripts
How can i request a transcript
Ordering transcript
Ordering a transcript
I need to order my transcripts
I need to order a new transcript
I need to request a transcript
I need to order transcript
How can i order my transcrips
I need to request transcripts online
E to order a transcript
How do i request a transcript from 2018
How do i request transcript
How can i order a transcript
How can i order a transcirpt
Ordering transcripts
I want to order a transcript
Requesting my transcript
Request my transcripts
I want to request my transcript
I need to order transcripts
I need to order a transcript
I earned college credit in high school through st johns how can i get transcripts of those
How to order my transcript
I would like to order a transcript
Hi i am looking for my hs credits received from st johns i need to provide transcript where can i find it
Hello how can i order transcripts
Hello how can i order a transcript
How do i order my transcrpits
Hi im an alumni im trying to order a copy of my undergraduate and graduate degree transcript
I have to request a transcript
How do i request my transcript
I would like to request a copy of my transcript
Need to order transcript
How can i get a transcript of the college credit i took through my high school that was affiliated with st johns
I would like to request my transcript
Who can i speak with to get a copy of transcript
How can i request transcripts
I did one of the high school classes through st johns and i was wondering how i request my transcript
Where can i request transcript for college credit
Hi i need to request a trasnfer
Request a copy of my transcript
How to order transcript
How can i request a copy of my transcript
I need to request my transcript
How do i order my transcripts
Order my transcript
Where can i request my transcripts
I need to request transcripts
How can i order my transcript
How to order transcripts
I want to request transcript
How do i request a transcript for classes taken about 1980 1984
Wanted to order transcript
How to request a transcript"
Trouble with logging in,163,115,"Cant log in
I cant sign in
I cant login
I cannot log in
Cant sign in
Unable to login
I cannot sign in
I cant log in
It wont let me sign in
Cant log into sign on
I am unable to sign in
Cant sign on
Unable to sign on
It wont let me log in
Can not log in
Not able to login
Cant login
Having trouble logging in
I cannot login
Cannot login
Still unable to log in
I am having trouble signing in
Doesnt make me login
I am having trouble signing on a a new user
I cant able to login
I am not able to login in the httpssignonstjohnsedu
It said sign in failed while trying to sign in
I cant login in my httpssignonstjohnsedu
I cant seem to log in
I am having trouble signing in but i am inputting the correct information
Hello i am having issues signing on to bswift
I am unable to login
Couldnt sign in
Its not giving me the option to sign in using okra
Doestn let me log in
Cant log on
It is not allowing me to sign in following those instructions
I am trying to log in and cannot
Trouble logging into signon second time
Log in will not let me log on
I am not able to login as i get the message that sign in failed
Trouble logging in
It still isnt allowing me to log on
I cannot signon
I tried these procedures but i could not sign in
I cant log in with my xid number
I am trying to login to the sign in page but it wont let me
I am unable to log in
Its telling me sign in failed but i put in my correct password and email
I put my password and email and it says sign in failed even though i know its correct
Hello i am staff and i am unable to login
I cant loginto sign on
Why does it say sign in failed
Why cants i sign in
It keeps saying sign in failed
Cannot log in
Im not able to sign on to sign on
Its not allowing me to on signon
I am unable to sign on
It is not letting me sign in
It doesnt allow me to log in
I cant log in into sign on
Doesnt let me signon
I followed all the steps and i still can not log in
I still cannot log on
Still cannot log on
I dont know why i cannot login to my st johns connect
It still wont login
Although i followed the instructions it still wont let me log in
It wont let me sign on
I m having trouble signing in
Having issues logging in
Sign in keeps failing on signon
I am unable to log on
Cannot sign in
Not able to log in
My sign on says unable to sign in
Wont let me log in
Nt login
I need help with signing in the website
Unable to log in
Log in i cant
Why wont it let me log in
It says im unable to sign in
I still cant log in
It says i am unable to sign in
Everytime i try and log in it tells me its unable to login
It is saying unable to sign in
I cant signon
I cant login for my st johns connect
I cant sign into signon
It still says that im unable to sign in
Cant login to sign on
My signon account keeps saying tis unable to sign in
I tried that and it still says unable to sign in
Wont let me sign in on sign on
Is not letting me to log in
Yes i did that its saying unable to sign in
I cant log on
Why is it saying unable to log in when i try to log in
Signon wont let me sign in
I couldnt log in
Unable to sign in
It says unable to sign in
I cannot get into my sign in page
It wont sign in
Why can i not sign in
Im having trouble logging in
Im still having a problem logginh in
What if i cannot login
I can not log in
I cant log into my sign on
Hi cant login
It doesnt let me log in
But it says unable to sign in"
Unlocking an account,161,5,"Solutions unlock account
I need help unlocking my account
Hi i need help unlocking my account
Need help unlocking my account
I need help with unlock account"
Tuition costs and fees,151,85,"How much is tuition
What is the tuition
How much is the tuition
Whats the tuition
Tuition cost
Tuition fees
How much is tution
Tuition fee
What is the tuition cost
Tution
How much is tutition
Tution fee
Tuition and fees
Tuition fee at st johns
What about your tuition
Cost and tuition
How much is tutuion
What about the dorms how much do they cost what information is needed to apply are there requirnments
How much are tuition fees
How much tuition cost
How much is your tuition
What is the tution
How much is my tuition
How much is tuition fee
The cost of studying and what are the admission requirements
How much is the tution fee
How much is tuition at st johns including room board
How much for the tuition
That will be the tution fees
Hoe much is tuition
Tuition for living at home
Cost of tuition
How much is the tuition fee
What is the general tuiton
What is st johns tuition
How much tuition i get in the college
What s the tuition
So can you calculate whole tuition for the program
What is tuition
What his tuition
How much is tuition f
St johns tuition
What is the cost of tuiton
Whats the tuition to go to here
How much is the tution
What are the tuition fees
What is the tuition like
Tuition and related costs
I would like to know one more thing is tution fees
What is cost of tution
How much is tution and fees and expenses
What is the 20242025 tuition
Tuition cost for 20242025
I would like to know how much i would pay for my tuition
What is the cost of tuition
I want to know what my tuition is
How much does tuition cost
Tution and fees
What is the tuition for saint johns
What is the price of tuition
How much money is the tuition
How much is the tuiton cost anually
Whats the tuition for this college
What is the total tuitions
I want to know how much tuition would cost
Would tuition be same for whatever program i apply to
What is the tuition fees at st johns
Y my tuition
H is tuition
How much do i have to pay for tuition
What is the typical tuition costs
The cost of tution
The cost of tuition
Cost for tutiton
What sthe tuition
How much is the tuition cost
What is the tuition and fees
The tution
Whats the tuition here
How is tution
Can i know the tution fees
What is the tuition at st johns
How much is tuition at saint johns
How much does the tution cost
I would like to take a look at the tuition and fees"
Single sign-on functionality and its effectiveness,146,2,"Sso
Single signon instructions"
Introductions and greetings,143,29,"Good morning my name is blake blackwell
Good afternoon my name is blake blackwell
Hi my name is blake blackwell
Good afternoon this is blake blackwell
Good evening my name is blake blackwell
Good afternoon this is blake
My name is blake blackwell
No im johnny
Good morning this is blake blackwell
My name is allison krampf
My name is emma bernard
My name is isabella arias
Why did they name you johnny
Hi my name is johnny too
No way im johnny too
Hi my name is blake
Hi i am jomarson
Hello my name is mr guillaume
Im johnny too
Hello johnny my name is josh
Im feeling lonley
My name is tosin osuwa
Good afternoon my name is blake
Hi i am christopher
Good evening my name is blake
Good evening this is blake blackwell
Good evening this is blake
Is your name really johnny
Im daniel"
Resetting multi-factor authentication (MFA) or two-factor authentication (2FA),140,3,"Solutions reset mfa
How can i reset the autheritication
Can i reset password without mfa process"
Finding and accessing an academic calendar,130,9,"Can you please show me the academic calendar
Show me the academic calendar
Can you pull up the academic calendar
What is the academic calendar
Hi where is the academic calendar
Academic calendar with holidays where i can find it
I want the calendar of academic holidays where i can find it
Wheres the academic calendar
Give me the academic calendar"
Obtaining college transcripts,123,12,"Transcript
Transcripts
Copy of transcript
Trancript
Transcrpit
Trascripts
Uest transcript
Copy of transcripts
Transcipt
Anscripts
School transcript
Transcipts"
WiFi support and troubleshooting,114,2,"Solutions wifi
I need help with wifi"
Locating or finding the UIS,113,4,"Uis
How to find uis number
How can i find uis
How to find uis"
Canvas Platform Access and Features,113,1,Canvas
Miscellaneous topics,101,60,"Medicat
Something else
Yes i have a question
S
I have some questions
Tell me
Bent hall
Johnny
More
I am sorry i have a question
Where is gate 1
Are you related to johnny 5
Amar nunu kaba
Whaty
What else
Everything
I have another question i am sorry
I have to ask
Sory
Interested
Entrepeneurship
Please tell me more
I just wanted to know something
Googlecom
Just tell me
Is true
Whats the ccc
Yes another question
I have a qustion
Er
Anything else
Ozanam
Shopping
Fro
Whats 2 times 10
Enquiry
At
I want to know
Ozanam scholars desiscion
Timetrade
What questions can you answer
L
Just looking
What is that
Can you tell it to me
What is happiness
Dar
Details
Ram
E
Ex
J
Just tell me them
Good i have a question
Yes interested
Gem
Good afternoon i have a question
Can you just tell me
Wheres gate 1
But what is it around"
Account lockout,95,39,"My account is locked
Locked out of account
Im locked out of my account
I am locked out of my account
Account locked
Locked out of my account
Locked account
Account is locked
I locked my account
I have been locked out of making an account
Why is it telling me to unlock my account
My outllook account is locked
My account appears to be locked and it is not accepting the answer to my security question
My account was locked
Why has my web access been disabled
I unlocked my account multiple times and i still cannot get into my sign on
My access to the website got disable
I am locked out of the account
My account is locked but i havent set it up yet
My account is lock
My account in locked
My account got locked out
Hi im locked out of my account
Your web access has been disabled how can i fix this
But my account is locked
My account has been locked
Yo my account is locked
I am locked out of account
It says that my account is locked
Its showing that account is locked
Im locked out and cant access my account
Im locked out of my sign on account
I did that and got locked out of my account
Its seem my account is locked
I am trying to unlock my account but i have not received a code
Locked my account
No i was locked out of the account
Im locked out my account i never signed into before
My account is lokced"
Accessing and viewing a personal schedule,94,40,"Where can i find my schedule
How do i find my schedule
Where do i find my schedule
How to see my schedule
How do i check my schedule
How to find schedule
Where do i view my schedule
Where do i check my schedule
I need help finding my schedule
How to check my schedule
How to see schedule
How to see your schedule
How do i find my schedule that is already made
Where is my schedule other than uis
What is the schedule for this week
Where i see my schedule
Hi where can i view my schedule
How can i find my schedule
I would like to see my schedule
Im trying to find my student schedule by day time
Im trying to find my schedule
See my schedule
Where can i find my schedule on my st johns mobile app
Where is my schedule located
I need my schedule
How to see my daily schedule
View my schedule
Take me to my schedule
How do i view my schedule by day time
Where can i view my schedule on a calendar
Where can i find my schedule by date and time
I do i find my schedule
Where can i find my schedule on uis
I cant find my schedule on uis
I need to find my schedule by date and time
I need to see my schedule
Where can i find my schedule on the website
Where can i fing my schedue
How to check my schedule by day
Ere can i find my schedulewh"
Undergraduate education,83,27,"Undergraduate
Undergraduate student
Undergraduate students
As an undergraduate
For undergraduate
For undergraduate students
Undergrad
For undergraduate student
For undergrade
I need undergrad
Undergraduate level
For the undergraduates
Is for undergraduate
Of undergraduate
Is for undergraduate too
For undergraduates students
For undergraduates too
Is for undergraduates
And undergraduates
Not for undergraduates
For undergraduates
What is an undergraduate
It is for an undergraduate
For undergraudates
Is for undergraduate students
Undergraduate seniors
For undergrad"
Obtaining a transcript,80,49,"I need a transcript
I need my transcript
I need a copy of my transcript
Get transcript
How do i get a copy of my transcript
How can i get my transcript
Need transcript
How do i get a transcript
How do i get my transcripts
I need a copy of my transcripts
Need my transcripts
Where can i get my transcript
I would like to get a copy of my transcript
I need transcripts
Get transcripts
How to get transcript
How can i get my transcripts
How do i get my transcript
Hello how can i obtain my transcript
I want my transcript
I need transcriptws
I would like to get my transcripts
I need to get my transcripts
Need to obtain my transcript
Transcript i need
I want my transcripts
How can i get a copy of my transcripts
I am graduated student in 2002 would you kindly inform me how i can get my graduated certificate as well as transcript
How to get a transcript
Where do i get my transcripts and tuition
I would like my transcripts
Im looking to get a copy of my transcript
I need to get my transcript
Need a transcript
I want to obtain my transcript
How do i get transcripts
I need a trascript
How to get transcripts
How to obtain transcript
How do i obtain my transcript
Obtain my transcript
To obtain my transcipt
Quest a copy of my transcript
I need copy of transcript
How to get original transcript
How do i obtain a transcript
Get my transcript
How can i get a transcript
Need my transcript"
Logging in or signing in,79,44,"How do i log in
How do i login
How to log in
How to login
How can i login
How do i sign in
How can i log in
Where can i log in
I need to log in
Where do i log in
How to sign in after a name change
I dont know how to sign in
Trying to lo in
How do i sign in with my sign on i was given
Trying to log in
Where log in
Hello i have been trying to log on for some days now and still not getting through
I need to login
How do i log on
How do i log i
I am login
How we login in
Okta log in
How do i login to my with my credentials
Where can i find the login
Where do i login to medicat
Take me to signon
Hi i want to sign in
Sign on to sign on
When can i try logging in again if my account is loced
Where do i go to log in
Need to log in
Would like to log in
Where do i sign in
I want to log in
I want to login
How to sign in
Kindly tell how to login here
How to long in
How to log in medicat
How to log into medicat
Im trying to log in
I am logged out of everything how do i get back in
I am log out of everything how do i get back in"
Accessing and checking email,78,54,"How do i access my email
How can i access my email
How do i check my email
How to access email
How do i get to my email
How do i access my st johns email
How do i log into my st johns email
How can i check my email
How do i access emails sent to me
How do i login to my st johns email
How to open my email
How do i see my emails
Where can i access my email
Where do i access my email
I dont know how to access my email
I need to access my email
Hi im trying to access my st johns email
I there a way to access my email at all
How to check email
How to check my email box
I meant how doi check my stjohns email
I need to get into email
I need to access email
How can i assess my email
How do i see my emails in the system
How do i log into st johns email
Hi where can i access my email
How can i go to email
How can i access email
How do i get my email
How do i access my emails
Where do i access my st johns email
Where do i access my stjohns email
Where can i find me emails
How do i sign into my st johns email
I want to access my email
Hi where can i open my st johns email
What app can i open my st johns email
How to access my st johns email
How do i check my emails
How do i log in to my st johns email
Okay now that im in where do i check my email
How do i check my st john email
How do i check my st johns email
Where do i check my st johns email
How to access to my email
Where can i view my emails
How to connect my personal email to st johns
How do i sign in to my st johns email
I need to access by email
How to get to my st johns email
How to access emails
I need access to my email
Find my email"
Scheduling an appointment with an advisor,78,49,"Make an appointment with advisor
How do i schedule an appointment with my advisor
How can i make an appointment with my advisor
Make an appointment with my advisor
Appointment with advisor
How to make an appointment with my advisor
How do i make an appointment with my advisor
How to make an appointment with an advisor
How do i schedule a meeting with an advisor
Make advisement appointment
How to schedule appointment with advisor
Hi how can i make an appointment with my advisor
Making an appointment with my advisor
I need to make an appointment with my advisor
How can i make an advisory appointment
How do i meet with my advisor
How do i set up an appointment with my advisors
How do i set up a meeting with my advisor
How do i set up a meeting with an advisor
Need to schedule an advisor appointment
Advisor meeting scheduling
How can i schedule a meeting with an advisor
Schedule a meeting with an advisor
How to schedule an appointment with advisor
How do i make an appointment with my advisor for making a new schedule
Where can i schedule a meeting with my advisor
How do i make an advising appointment
Advising appointment
How to set up appointments with advisor
When can i start scheduling my classes and meeting with an advisor
Set a appointment with advisor
Book an appointment with an advisor
Met with a advisor
Make appointment with advisor
How to meet with my advisor
Schedule appointment with advisor
Set up meeting with advisor gail chiarovano
How do i make an appointment with an advisor
Meet with an advisor
Where to schedule advisment appointment
How to make appointment with my advisor
Where do you make an appointment with your advisor
Hi how do i schedule an appointment with my advisor
Where do i go to schedule an advisment meeting
Schedule advisors appointment
Can i meet with an advisor that isnt my own
Schedule an advising appointment
Book appointment with advisor
How do i make an appintment wth my advisor"
Contacting via phone,76,59,"Phone number
Number
I wanna talk to them in person
Contact number
What is the phone number
Can i call someone
Is there any number i can call to resolve this issue
I am hoping to call a human being
Whats your phone number
Whats your number
Call e
Can i call now
Can it call me
Phone numbers
I am trying to call now to speak to someone
Give me the phone number
Call phyllis conn
What is the university number
Can i get a phone number
I want to call someone
Phone contact
Is there person that i can call
Who can i call
Can i do it without calling
Any contact number
Can i get it number
Whats the st johns post office phone number
Number to call for information
Telephone number please
Would it be easier to call
Call center phone number
I need a number
Whats there number
What is the help line phone number
May i have the phone number
Telephone number
What number can i contact
Who do i call for general questions
What is the number of
I need to call her i need her phone number
What is the number
Give me phone number
Whats the phone number
Contact phone number
Id like the number for res life
I need to speak to someone on the phone
Is there a number i can speak to someonev
Can i have a number to call
Call
Do i have to call someone to do this
Dont know x number
What number do i call for general questions
What number is that
St johns service number
Her telephone number is
What is your number
In numbers
Ok thanks i just called that number
Any phone number"
Contacting via email,71,64,"Email address
Do they have an email
What is the email address
Contact email
I would like to have the email of rev brian j shanley op
What email address
Can you please give me their email id
But i need the email as i am unable to call internationally
Do you have email
Email address please
I need emails to contact
General contact email
What is his email
Have you got an email address
The st johns email or my personal
Its under that email
And his email address
Where should i email to
Is there someone i can email
Whats his email
Email addres
Do they have an email address
Contact for exams team
What is the generic student email for saint johns students
What email can i contact
Why cant you just give me his email address
What is the email addres
Where can i locate the email address
Please send me the email of the person in charge
Do they have a email
Could you please pass email
What is an email that i can talk to
What is her email
Can you please give me the email address of rev shanley so i can contact him
I need to reach out to him can you give me his email
What email can i connect to ask questions
Give me a email i can contact
What is the email under
Hi i need the email to write to
St johns email
Will they email
Where do i find their email
What is the email contact for them
Can i get an email
And the email for them is
Email for reslife
Whos email is that
Whats residential life email
Email please
Do i email them
Whats their email
Can i get the email please
Is there an email i can reach it at
Is there an email address
Please kindly provide her email address
What youre guys email
What email
Email contact info
Could you let me know the email address
Could i get an email to contact them
Can i have an email i can talk to
Can i contact someone by email
Do you have an email for him
May i have their email contact"
Changing or switching majors,71,37,"How do i change my major
How can i change my major
How do i switch majors
How do i change majors
I want to change my major
How to switch majors
How to change major
How to switch major
How to change my major
How to change my listed major
I am changing majors
I would like to change my major
Is there a way i can switch the major i got into
How to switch to a new major
Hi how can i change my major as an undergrad accepted student
Where do i go to switch major
How can i change mahor
How do i switch my major
If i want to switch my programmajor how do i do that
How to switch my major
How to chnage majors
I need to switch my major
How can i switch my major
How to change major from undecided
How do i chnage my major
How do i change my intended major
Where can i change my major
I need to change my major
Where do i go to request a change in my major
How can i undeclared my major
How do i change my major after enrolling
How do i change my majore
How can i choose my major if its mark as undecided
How do you switch majors
What campus building do i go to to change my major
Where do i go to change my major
What is the procedure to change my major"
Logging in or signing in,69,13,"Log in
Login
Sign on
Sign in
Og in
Let me in
Logging on
I have never logged in before
Signing in
Signing on
Log into medicat
Log me in
Signing someone in"
Password recovery or resetting a forgotten password,68,26,"I forgot my password
Forgot password
Forgot my password
Forget password
I dont even remember making a password so how was i supposed to remember it
Dont remember my password
I forgot my signon password
Forgot my passwoed
Cant remember password
So i have forgotten my password for my uismysju
I have my x number but it wont let me reset my password so i cant acess my account
Forgot passowrd
I forgot my passworod
Forgot passwrod
I do remember my password
I forgot my password and answer to the question to change password
I cant remember my question about forgetting my pasword for signon
I forgot my forgotten password answer
Dont know my password and account doesnt have phone number
I forgot my password and my security challenge question
I forgot my password and my security question
I forgot the password
I forgot my login password and i dont have the same phone number
I didnt forget my password
Thank you unfortunately i forgot my password
I forgot my password and i have a new phone number what do i do"
Start date of spring classes,66,48,"When does the spring classes start
When does spring classes start
When does spring classes begin
When the spring classes start
The spring classes begins january 22nd
The spring classes begin january or february
Spring semester begins wednesday january 22 2025
When does the spring classes begin
When does the spring class start
When does the spring classes starts
Is the spring classes start january 17 2024
How do we fix start date of spring semester class
When the first day of the spring classes
Is the spring classes starts on january 17th
The classes starts on feburary 14th
The spring classes starts february 17th
Is the spring classes going to start on feburary 17th
The spring classes starts on january 22nd
The spring classes starts on january or feburary
The spring classes is in january
Spring classes will begin january
The spring classes start january 22nd
The spring classes start january or february
The spring classes will start january 17
When the classes start for the spring
The spring classes starts january
Spring classes begins january 22nd
Spring classes begin january 22nd
Spring classes starts january 22nd
The spring classes begins tomorrow
Classes starts on february 13th
Spring classes begin january 17th
The classes begin february 17th
When does spring class begin
The spring classes begin january 17th
When is spring classes begin
The first day of spring class will be january 17
The spring classes begin march or april
Spring classes begins wednesday january 22nd
The spring classes begin january 22nd
Spring classes begins wednesday january 22 2025
The spring classes begins wednesday january 22 2025
Spring classes begin wednesday january 22nd
The spring classes begin wednesday january 22 2025
Spring classes begin january 22nd 2025
Spring classes begin wednesday january 22 2025
When does spring classes open
When the spring semester class will start"
Requesting assistance,65,26,"Help
I need help
More help
Can you help me
Help me
Still need help
Who will help then
Can you help me figure
I need more help
There is nobody to help me when i call them
By helping
Help me pls
Please you help me
Ok im confused
Please help me
Can you help
Where exactly to i go for help
Can you do that for me please
Need help
Need more help
Can u help with this
When could i get help
Okay well i need help with something else
I still need helo
I still need help
Sos"
Academic advisement and finding academic counselors,65,2,"Advisement
Advisors"
Inquiring about an address,64,11,"Address
What is your address
Whats your address
Whats the address
What is the address
Address please
Whats the adress
What is address
Adress
Can i have the address
What the address"
