Rank,Question,Bot Response,Confidence
106,register for orientation,"To register for orientation at St. John's University, you must first pay your deposit. After that, you can register for the Orientation Connection Days. If you have any questions, you can contact them at [orientation@stjohns.edu](http://mailto:orientation@stjohns.edu/) or 718-990-5353. For more information, you can check the [New Student Guide Checklist](https://www.stjohns.edu/admission/undergraduate-admission/accepted-students/new-student-guide-checklist).",high
107,what is the cost per credit at st johns university,"Point to: ""what is the tuition for a phd student at st. john's university?""",high
108,help with stormcard,You may find the [StormCard](https://ithelp.stjohns.edu/support/solutions/folders/16000062625) solutions page helpful.,high
109,representative,"Point to: ""solutions agent""",high
110,course offerings,You can find the available courses on **[University Course Offerings](https://www.stjohns.edu/academics/university-course-offerings)**.,high
111,tuition,"Point to: ""solutions tuition""",high
112,st johnson university,,low
113,orientation,"To reserve a spot for the orientation, you must have paid your deposit. After that, you can register for the Orientation Connection Days.

<br/>If you have any questions, please contact at [orientation@stjohns.edu](http://mailto:orientation@stjohns.edu/) or 718-990-5353. For more information, you can check the [New Student Guide Checklist](https://www.stjohns.edu/admission/undergraduate-admission/accepted-students/new-student-guide-checklist).",high
114,how to i register for classes,"You can find your Registration Time Ticket by logging into [connect.stjohns.edu](https://connect.stjohns.edu/) or using the Connect app on your smartphone. Choose the New UIS Experience widget, go to My Information – Academic Profile - click Registration Notices and you will see your Time Ticket. All students should bring a student advisement report to their advising appointments. Advisors will provide their advisees with a PIN, which is needed to register. 

<br/>For more information, please refer to the [Registrar’s Office website on Registration](https://www.stjohns.edu/academics/office-registrar/registration) and [How do I register for classes using the ""New UIS Experience""?](https://ithelp.stjohns.edu/support/solutions/articles/16000080168).

Are you a first time or first year student?

First Time Student

First Time First Year Student

Point to: ""i am a new first time student, how do i register?""

Point to: ""i am a first time first year student, how do i get registration information?""",high
115,solutions housing portal,You can log into the [St. John's Housing Portal](https://stjohns.starrezhousing.com/StarRezPortalX) using SignOn.,high
116,pay tuition,"Point to: ""solutions payment""",high
117,solutions graduation,You can find dates and locations for graduation ceremonies on the **[Commencement](https://www.stjohns.edu/academics/commencement)** page.,high
118,movein calendar,"Which academic calendar would you like to see?

https://www.stjohns.edu/academics/academic-resources/academic-calendar

New York Campuses

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-st-johns-semester-paris

Paris Campus

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-study-abroad-rome

Rome Campus Academic Calendar

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-western-europe-semester-programs

Western Europe Campuses

https://www.stjohns.edu/law/academics/academic-calendar

Law School

New York Campuses

Paris Campus

Rome Campus

Western Europe Campuses

Law School",high
119,new uis experience,You can find the New UIS Experience by logging into [connect.stjohns.edu](https://connect.stjohns.edu/) or using the Connect app on your smartphone.,high
120,how do i make an account,"For further assistance, please contact the Customer Service Center at [718-990-2000](tel:7189902000).
<br/>
**Office Hours**
Monday–Thursday: 8:30 a.m.-4:30 p.m.
Friday: 8:30 a.m.–3 p.m.
*Holiday hours may vary*",high
121,contact,You can contact the St. John's University Customer Service Center by calling [718-990-2000](tel:718-990-2000) or emailing [CSC@stjohns.edu](mailto:CSC@stjohns.edu). Their hours are Monday–Thursday from 8:30 a.m. to 4:30 p.m. and Friday from 8:30 a.m. to 3 p.m.,high
122,what do i need to do to make a payment,"St. John's offers various payment options, and University payment plans each semester. Please review the options best for you [here](https://www.stjohns.edu/admission/tuition-and-financial-aid/payment-options).",high
123,how do i know who my dean is,"You can find your academic advisor by contacting the College office and faculty advisors in major departments. You can schedule an appointment, find your academic dean, and more by visiting the Student Academic Advisement page. 

<br/>If you are in the College of Liberal Arts and Sciences, you can contact the dean's office [here](https://www.stjohns.edu/academics/schools/st-johns-college-liberal-arts-and-sciences/contact). 
<br/>If you are in the College of Professional Studies, you can find advisement information [here](https://www.stjohns.edu/academics/schools/college-professional-studies/ccps-student-services/ccps-academic-advisement). 

<br/>For all other College offices, contact us at [718-990-2000](tel:7189902000) during regular office hours.",high
124,what is my username,,low
125,schedule a tour,"You can schedule a campus tour for prospective undergraduate students [here](https://apply.stjohns.edu/portal/campus_visit_Queens) and for prospective graduate students [here](https://grad.stjohns.edu/portal/graduate_tours). For school group tours or to customize your on-campus experience during the summer, you can contact the team at [visit@stjohns.edu](mailto:visit@stjohns.edu). If you have any questions before your visit, you can also reach out at [718-990-3368](tel:7189903368) or [visit@stjohns.edu](mailto:visit@stjohns.edu).",high
126,okta verify,"Point to: ""solutions reset mfa""",high
127,application status portal,"Undergraduate students can access their student portal at https://apply.stjohns.edu/apply/

Graduate students can access their student portal at https://grad.stjohns.edu/apply/",high
128,meal plans,"Any student can add a meal membership, along with Flex and Dining Dollars, to their StormCard. Visit [here](https://www.stjohns.edu/queens-residential-campus/dining-services) for more information.
<br/>
Resident students can visit [Housing Selection](https://www.stjohns.edu/queens-residential-campus/residence-life/housing-selection) to learn more about the building and meal plan requirements. For resident meal plan rates, visit [here](https://www.stjohns.edu/admission/tuition-and-financial-aid/tuition/room-and-board).",high
129,solutions dining dollars,You can check your dining dollars and manage your StormCard balance on **[Atrium](https://stjohnsstudentlink.atriumcampus.com/)**.,high
130,change major,"If you want to change your major at St. John's University, you can email admhelp@stjohns.edu with your name, date of birth, and the major for which you would now like to apply. If you are a continuing student, you should complete the Internal Transfer Request Form on the [New UIS Experience](https://connect.stjohns.edu/) widget.",high
131,parking pass,"To obtain a parking pass at St. John's University, follow these steps:

1. Visit [Connect](https://connect.stjohns.edu/) or use the Connect app on your smartphone.
2. Click on ""Log In"" and enter your credentials. Employees and faculty members use their full St. John’s University email address, while students use the format firstname.lastname##@my.stjohns.edu (##=two-digit year of entry). First-time users' passwords are ""S"" followed by ""j"" and the eight digits of their StormCard ID number.
3. Choose the Parking Services widget.
4. Open Parking Services and follow the on-screen instructions.

Permits are mailed to your home address within five to seven business days. Ensure your current mailing address is registered. If you do not receive your permit within 30 days, file a report with the Department of Public Safety.

For off-campus parking at Seton Complex, DePaul House, and Henley Road, permits are issued in person at the Public Safety office. Eligibility is determined by senior administrators, and a list of eligible members is forwarded to Public Safety.",high
132,jobs,"[University Career Services](https://www.stjohns.edu/life-st-johns/career-services)  provides programs and services that create opportunities for students, alumni, faculty, and employers to engage in mutually beneficial partnerships that meet the needs of an evolving and global workforce. 

<br/>
Information about St. John's University job opportunities is listed [here.](https://www.stjohns.edu/about/leadership-and-administration/administrative-offices/human-resources/recruitment)

<br/>
Current students can visit [Student Employment](https://www.stjohns.edu/recruitment/student-employment) for on-campus job opportunities.",high
133,i cant access my account,,none
134,how do i transfer my credits to another school,"To transfer your credits to another school from St. John's University, you need to request your academic transcripts. Instructions for requesting a transcript can be found on the St. John's University website:

- For Undergraduates, Graduates, and Alumni, visit [here](https://www.stjohns.edu/academics/office-registrar).
- For Law School Students, visit [here](https://www.stjohns.edu/law/student-life/student-services/office-registrar#:~:text=Email%20or%20Mail%2DIn%20Requests&text=Law%20school%20alumni%20may%20order,the%20Transcript%20Request%20Form%20below.&text=Transcripts%20are%20processed%20within%203,the%20receipt%20of%20the%20request).
- For College Advantage students, visit [here](https://www.stjohns.edu/admission/other-programs/college-advantage-program).",high
135,what are the programs,"Point to: ""solutions degrees""",high
136,i need help signing in,"Point to: ""solutions signon first time""",high
137,link to livesafe,"The link to LiveSafe for St. John's University is not explicitly provided in the supporting context. However, you can find more information about LiveSafe on the [Public Safety page](https://www.stjohns.edu/my-st-johns/public-safety) of St. John's University.",high
138,campus tour,"You can schedule a campus tour for prospective undergraduate students [here](https://apply.stjohns.edu/portal/campus_visit_Queens) and for prospective graduate students [here](https://grad.stjohns.edu/portal/graduate_tours). For school group tours or to customize your on-campus experience during the summer, visit [Explore St. John's Today!](https://www.stjohns.edu/admission/connect-us/explore-st-johns-today) or contact their team at [visit@stjohns.edu](mailto:visit@stjohns.edu). If you have any questions, you can also call [718-990-3368](tel:7189903368).",high
139,how to pay for college advantage,"Point to: ""how to pay for dual enrollment classes""",high
140,do you have nursing as a major,St. John's University offers a [B.S. in Nursing](https://www.stjohns.edu/academics/programs/nursing-bachelor-science).,high
141,when does the spring semester start,"Which academic calendar would you like to see?

https://www.stjohns.edu/academics/academic-resources/academic-calendar

New York Campuses

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-st-johns-semester-paris

Paris Campus

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-study-abroad-rome

Rome Campus Academic Calendar

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-western-europe-semester-programs

Western Europe Campuses

https://www.stjohns.edu/law/academics/academic-calendar

Law School

New York Campuses

Paris Campus

Rome Campus

Western Europe Campuses

Law School",high
142,i am from hicksville ny 11801 in long island,,none
143,open house,"See for yourself what it means to be a Johnnie through our Open House. 
<br/> 
For first-year undergraduate and transfer students, visit [here](https://www.stjohns.edu/join-us-our-open-house). 
<br/>
For graduate students, visit [here](https://grad.stjohns.edu/portal/grad-events).",high
144,gpa requirements,"The GPA requirements for admission to St. John's University vary by program. For the Master of Arts in English, an undergraduate GPA of at least 3.0 is required, with a 3.5 GPA in English courses. For the Bachelor of Arts / Master of Arts in Psychology, a cumulative and major GPA of 3.25 is required.",high
145,how do i make an appointment with my dean,"Point to: ""advisement""",high
146,where should i send my transcripts,"For electronic transcripts, you can send them to the following email addresses based on your application type:

- Undergraduate Admission: admission@stjohns.edu, transfers@stjohns.edu, or intladm@stjohns.edu
- Graduate Admission: gradhelp@stjohns.edu

For mailing physical transcripts, send them to:

**Office of International Admission**  
St. John's University  
Rm. 106 Newman Hall  
8000 Utopia Parkway  
Queens, NY 11439  
Tel: (718) 990-1601  
intlhelp@stjohns.edu",high
147,how many students are there,,low
148,when is move in day,You can find the Move-in schedule on the **[Move-in Survival Guide](https://www.stjohns.edu/queens-residential-campus/residence-life/move-survival-guide)** page.,high
149,how do i register an overnight guest,"To register an overnight guest at St. John's, follow these steps:

1. Use the Online Guest Registration Form on [UIS](https://signon.stjohns.edu/) to request an overnight guest.
<br/>Head to **Student > Student Life > Resident Students > Overnight Guest Registration** on UIS to find the form.
2. Register the guest through the online system/housing portal before 11 p.m. on the night the guest wishes to stay.
3. If the guest is a non-St. John’s guest, they will receive an overnight guest pass, which must be retrieved from Public Safety no later than 11 p.m. by the host and guest, together. The guest pass must be carried at all times and the guest must be escorted by the host.

If a host discovers that their guest has had a change of plans, they may cancel that overnight guest pass via their student account online on the Queens campus. The host will be charged $20 for any lost overnight guest pass. 

For more information, visit [register overnight guests](http://www.stjohns.edu/node/78386#overnightguest).",high
150,transfer student,"At every point in your transfer journey, you'll experience personalized attention from a team of admissions, financial aid, and academic advisers. Visit [Transfer Admission](https://www.stjohns.edu/admission/st-johns-welcomes-transfer-students) to learn more and apply!",high
151,can you give me a list of all the clubs on campus,"St. John’s offers more than 180 student organizations on campus, including academic, athletic, social, and Greek life.

<br/>[Learn more about student organizations](https://www.stjohns.edu/queens-residential-campus/queens-campus-life/student-organizations)!",high
152,solutions forgot x number,"If you do not remember your X number, it can be found on a tuition statement or transcript. You can also find it on [UIS](https://ithelp.stjohns.edu/support/solutions/articles/16000015364).

<br/>If not found, you may also contact the Registrar's office: (718) 990-1339.",high
153,i cant unlock my account,"Point to: ""solutions unlock account""",high
154,it number,The IT Service Desk at St. John's University can be contacted at (718) 990-5000.,high
155,how do i login as an authorized user,"To log in as an authorized user at St. John's University, follow these steps:

1. You will receive an email with a link and separate login details for the Account Suite after being added as an authorized user.
2. Use the provided login details to access the Account Suite.
3. If you do not remember the password, click on the “Forgot Password” link under the login screen to reset it.

If you encounter any issues, you can contact the Service Center at (718) 990-2000, Monday to Thursday, 8:30 a.m. to 4:30 p.m., and Fridays, 8:30 a.m. to 3 p.m. EST.",high
156,employee directory,,low
157,i need an unofficial transcript,"Point to: ""solutions unofficial transcript""",high
158,when is open house,"See for yourself what it means to be a Johnnie through our Open House. 
<br/> 
For first-year undergraduate and transfer students, visit [here](https://www.stjohns.edu/join-us-our-open-house). 
<br/>
For graduate students, visit [here](https://grad.stjohns.edu/portal/grad-events).",high
159,admission requirements,"Undergraduate Application

Graduate Application",high
160,acceptance rate,,low
161,how do i connect to the wifi,"To connect to the Wi-Fi at St. John's University, follow these steps based on your device:

**For Windows:**
1. Click the Wi-Fi signal icon on the bottom right corner of the screen.
2. Select SJUMobile and click Connect.
3. Enter your SJU Username and Password, then click Connect.

**For iOS (iPad, iPhone, & iPod):**
1. Go to Settings and select Wi-Fi.
2. Ensure Wi-Fi is turned on.
3. Select SJUMobile.
4. Enter your SJU Username and Password, then click Connect.

For specific instructions on other devices like Android, Mac OSX, Google Pixel, or if you need to connect a ChromeBook, please refer to the appropriate guides provided by St. John's University Service Desk. If you encounter issues, try removing/forgetting the saved network and reconnecting. For further assistance, contact the Service Desk at 718-990-5000, available Monday to Friday, 7:30 am to 7:30 pm EST.",high
162,cost,"The cost of attending St. John's University varies depending on the program. For the College Advantage Program, the cost per course is $325. For the High School Scholars Program, the cost per course is $1,000. Graduate tuition costs per credit are as follows:

- College of Professional Studies: $950
- The School of Education: $950
- The Peter J. Tobin College of Business: $965
- St. John’s College Grad Arts & Sciences: $950
- School Psychology: $1,020
- Library Science: $1,015
- Speech–Language Pathology and Audiology: $1,020
- Ph.D. Clinical Psychology: $1,145
- College of Pharmacy and Allied Health Professions: $1,095
- Pharm.D. (Practitioner’s Option): $1,145

Additional fees include a general fee of $170 per semester, an application fee of $70, and other specific fees for examinations and services. For the most up-to-date information, it is recommended to check the online version of the bulletin at [St. John's University Bulletins](https://www.stjohns.edu/bulletins).",high
163,pay deposit,"Point to: ""solutions deposit""",high
164,how to find my advisor,"First-year students at St. John's University are advised by the Center for Student Success. After the first year, you can find your academic advisor by contacting the College office and faculty advisors in major departments. You can schedule an appointment, find your academic dean, and more by visiting the Student Academic Advisement page. If you are in the College of Liberal Arts and Sciences, you can contact the dean's office [here](https://www.stjohns.edu/academics/schools/st-johns-college-liberal-arts-and-sciences/contact). If you are in the College of Professional Studies, you can find advisement information [here](https://www.stjohns.edu/academics/schools/college-professional-studies/ccps-student-services/ccps-academic-advisement). For all other College offices, you can contact them at [718-990-2000](tel:7189902000) during regular office hours.",high
165,do you have a nursing program,"Point to: ""do you have nursing as a major""",high
166,the cost of attendance and financial information,Visit [Tuition](https://www.stjohns.edu/admission/tuition-and-financial-aid/tuition) to learn more about tuition rates and fees.,high
167,when does the winter classes start,"Which academic calendar would you like to see?

https://www.stjohns.edu/academics/academic-resources/academic-calendar

New York Campuses

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-st-johns-semester-paris

Paris Campus

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-study-abroad-rome

Rome Campus Academic Calendar

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-western-europe-semester-programs

Western Europe Campuses

https://www.stjohns.edu/law/academics/academic-calendar

Law School

New York Campuses

Paris Campus

Rome Campus

Western Europe Campuses

Law School",high
168,other,"Could you please provide more details or specify what information you are looking for regarding ""other""? I'll be happy to assist you further!",high
169,financial aid office number,The contact number for the Office of Student Financial Services at St. John's University is 718-990-2000.,high
170,mailroom hours,,low
171,i locked myself out and do not remember the answer to my recovery question,"Point to: ""solutions reset mfa""",high
172,class schedule,Your class schedule is available on [**Connect**](https://connect.stjohns.edu).,high
173,i have a question about scholarship,"Point to: ""solutions scholarships""",high
174,where do i get my storm card id,"To find your ID number, follow the instructions [here](https://ithelp.stjohns.edu/support/solutions/articles/16000015364).",high
175,password not working,"If your password is not working, you can follow the helpful steps provided by St. John's University Service Desk to reset your password yourself. You can find these steps by visiting [this link](https://ithelp.stjohns.edu/support/solutions/articles/16000016145).",high
176,library,"For St. John's University library locations and hours, visit [here](https://www.stjohns.edu/libraries/contact-us).

<br/>You can search the **St. John's University Libraries** online resources [here](https://stjlib.on.worldcat.org/).",high
177,how do i withdraw from school,"If you want to drop all your classes, you must complete a Change of Program and inform your dean of this in writing. Read more on [Withdrawals and Credits](https://www.stjohns.edu/admission/tuition-and-financial-aid/tuition/withdrawals-and-credits).",high
178,knock knock,,none
179,how to pay for dual enrollment classes,"To finalize your enrollment in the College Advantage Program, you must submit payment in full by the [deadline](https://www.stjohns.edu/admission/other-programs/college-advantage-program). To learn how to make a payment, visit [College Advantage Program](https://www.stjohns.edu/admission/other-programs/college-advantage-program).",high
180,application status,"Point to: ""application status portal""",high
181,schedule,,low
182,student portal,"Undergraduate students can access their student portal at [apply.stjohns.edu/apply](https://apply.stjohns.edu/apply). Graduate students can access their student portal at [https://grad.stjohns.edu/apply/](https://grad.stjohns.edu/apply/). Additionally, the University's internal information portal, Connect, can be accessed at [connect.stjohns.edu](https://connect.stjohns.edu) and is also available on [Apple](https://apps.apple.com/us/app/sju-connect/id1623710314) and [Android](https://play.google.com/store/apps/details?id=com.ucroo.stjohns).",high
183,i cant access my email,"If you can't access your email because you don't remember your password, you can reset it by following this [video](https://youtu.be/bPZI6iF6aVo) or [this article](https://ithelp.stjohns.edu/support/solutions/articles/16000016145). Once your password is reset, you can log in to Sign-On and access your email via the Office 365 Mail icon.",high
184,wifi,"Students, Faculty, Administrators, and Staff should use
[SJUMobile](https://ithelp.stjohns.edu/support/solutions/articles/16000015825).

<br/>
Guests should use 
[SJUGuest.](https://ithelp.stjohns.edu/support/solutions/articles/16000032592)

If you are interested in connecting your **Console** or **Smart Speakers**, visit the [Gaming Connect page.](https://ithelp.stjohns.edu/support/solutions/articles/16000016013)",high
185,where can i see my classes,"You can view your class schedule on [**Connect**](https://connect.stjohns.edu) by logging in and clicking on “New UIS Experience.” You can also use the mobile Connect App by installing it on your phone or tablet and locating the tile labeled “Student Schedule.” Additionally, you can log in to the Sign-On portal and click “Connect” to see your schedule on the right side of the page.",high
186,dorms,"St. John's University offers a variety of housing options for undergraduate, graduate, and law students on its Queens and Staten Island campuses. On the Queens campus, housing includes single, double, triple, and quad-style rooms in suites, rooms sharing a connecting bathroom, and apartment configurations both on- and off-campus. The Residence Village on the Queens campus features suite-style housing with kitchenettes and traditional corridor-style housing. Founder’s Village Townhouses and the Henley Road Apartment Complex provide apartment-style living with full kitchens and common areas. The Staten Island campus offers garden-style apartment housing at the edge of the campus property. All residential facilities are air-conditioned and provide 24/7 desk security.",high
187,solutions course offerings,You can find the available courses on **[University Course Offerings](https://www.stjohns.edu/academics/university-course-offerings)**.,high
188,solutions red storm,Here you can find out more about [**Red Storm Sports**](https://redstormsports.com/).,high
189,solutions campus map,You can find the campus map [here](https://www.stjohns.edu/queens-residential-campus/directions-and-area-hotels).,high
190,tuition for international students,,low
191,deadline,"Point to: ""solutions deadlines""",high
192,what is my student number,,low
193,when is the next open house,,low
194,how to get a new storm card,"Point to: ""solutions stormcard""",high
195,how do i get email for the first time,You can access your e-mail by logging into [Sign-On](https://signon.stjohns.edu) and clicking the Office 365 Mail icon.<br>,high
196,is this school worth it,I see that you are getting frustrated. Please rephrase as a single concise question.,high
197,solutions tours,"Campus tours are available for prospective undergraduate and graduate students. You can schedule a [undergraduate tour](https://apply.stjohns.edu/portal/campus_visit_Queens) or a [graduate tour](https://grad.stjohns.edu/portal/graduate_tours). 

<br/>Find out more about campus tours [here](https://www.stjohns.edu/admission/connect-us/explore-st-johns-today).",high
198,solutions scholarships,"St. John's University offers a range of scholarships: 
<br/>
For **undergraduate student scholarships**, visit [here](https://www.stjohns.edu/admission/scholarships).
<br/> 
For **transfer student scholarships**, visit [here](https://www.stjohns.edu/admission/scholarships/transfer-student-scholarships).
<br/> 
For **international student scholarships**, visit the FAQ section [here](https://www.stjohns.edu/admission/international-admission/faqs).
<br/> 
For **graduate student scholarships**, visit [here](https://www.stjohns.edu/admission/graduate-admission/graduate-scholarships).",high
199,do you have christian club,"Point to: ""student organizations""",high
200,holiday schedule,"The holiday schedule for 2025 includes the following days when the university is closed:

- New Year's Day: Wednesday, January 1
- Martin Luther King, Jr. Day: Monday, January 20
- Presidents' Day: Monday, February 17
- Special Holiday (Holy Thursday): Thursday, April 17
- Good Friday: Friday, April 18
- Special Holiday (Easter Monday): Monday, April 21
- Memorial Day: Monday, May 26
- Juneteenth: Thursday, June 19
- Special Holiday: Thursday, July 3
- Independence Day: Friday, July 4
- Labor Day: Monday, September 1
- Fall Break: Monday, October 13
- Veterans Day: Tuesday, November 11
- Day before Thanksgiving (Early Dismissal at Noon): Wednesday, November 26
- Thanksgiving Day: Thursday, November 27
- Day after Thanksgiving: Friday, November 28
- Christmas Eve: Wednesday, December 24
- Christmas: Thursday, December 25
- Special Holiday: Friday, December 26
- Special Holiday: Monday, December 29
- Special Holiday: Tuesday, December 30
- Special Holiday: Wednesday,",high
201,im from hicksville ny 11801 in long island,,none
202,what is the phone number for the registrars office,You can find the contact information for the registrar on the **[Office of the Registrar](https://www.stjohns.edu/academics/office-registrar)** page.,high
203,do you have online classes,"Yes, St. John's University offers online classes. The graduate program at The School of Education provides graduate online degree programs and individual online courses. These courses offer flexibility and an interactive educational experience, allowing students to study texts, complete assignments and exams, and engage with instructors and fellow students online. The online programs are accredited by the Middle States Commission on Higher Education and registered with the New York State Education Department.",high
204,is there afterschool activity,"Yes, St. John’s University offers a variety of after-school activities, including sports programs such as intramural sports, club sports, and intercollegiate offerings. The university also provides a Personal Training program and has a Fitness Center with cardio and strength training equipment. For more information, you can visit [St. John's University Campus Recreation](www.stjohns.edu/crec).",high
205,tour,"Point to: ""solutions tours""",high
206,okta qr code,"You can find the QR code for Okta by following the instructions provided [here](https://ithelp.stjohns.edu/support/solutions/articles/16000016496) on how to update your MFA. The setup must be initiated through a web browser on a separate device from the one you are installing the app on. After choosing your device type (iPhone or Android) and clicking NEXT, a QR code will appear.",high
207,drop a class,"If you want to drop a course, you must complete a Change of Program and inform your dean of this in writing. Read more on [Withdrawals and Credits](https://www.stjohns.edu/admission/tuition-and-financial-aid/tuition/withdrawals-and-credits).",high
208,how do i log in to my account,"Point to: ""solutions signon first time""",high
209,unofficial transcript,"You can access your unofficial transcript on [UIS](https://signon.stjohns.edu/home/bookmark/0oaxi2qplvSlNbWjR357/2557).

<br/> Once logged in, go to **Student Records** > **Academic Transcript (Unofficial)** and select your Transcript Level and Transcript Type.",high
210,when is commencement,You can find dates and locations for graduation ceremonies on the **[Commencement](https://www.stjohns.edu/academics/commencement)** page.,high
211,sunday may 19 2024 at 1000 am,"Yes, the Undergraduate Commencement Day at St. John’s University is on Sunday, May 19, 2024, on the Great Lawn. However, the specific time of 10:00 am is not mentioned in the provided context.",high
212,what is xid,"If you do not remember your X number, it can be found on a tuition statement or transcript. If you don't know your X number, contact us at [718-990-2000](tel:718-990-2000).
<br/>
**Office Hours**
Monday–Thursday: 8:30 a.m.-4:30 p.m.
Friday: 8:30 a.m.–3 p.m.
*Holiday hours may vary*",high
213,solutions authorized user,"Fire User Message: ""how do i login as an authorized user""",high
214,solutions housing cost,You can find the housing cost on the [**Room and Board**](https://www.stjohns.edu/admission/tuition-and-financial-aid/tuition/room-and-board) site.,high
215,alumni,"**Welcome to St. John's University**

What do you need help with?

Access Email

Request Transcript

Point to: ""solutions alumni email""

Point to: ""solutions transcript""",high
216,i need to access my old st johns email,"Point to: ""how do i get email for the first time""",high
217,meal plan,"Any student can add a meal membership, along with Flex and Dining Dollars, to their StormCard. Visit [here](https://www.stjohns.edu/queens-residential-campus/dining-services) for more information.
<br/>
Resident students can visit [Housing Selection](https://www.stjohns.edu/queens-residential-campus/residence-life/housing-selection) to learn more about the building and meal plan requirements. For resident meal plan rates, visit [here](https://www.stjohns.edu/admission/tuition-and-financial-aid/tuition/room-and-board).",high
218,class of 2024,"The Class of 2024 at St. John's University is supported by Career Services, which offers various resources to help students plan their next steps. Students are encouraged to connect with alumni and employers on LinkedIn by following St. John's University Career Services and participating in the 'Meet the Class of 2024' post. Those who have secured a position or been accepted into graduate school can share their next steps by emailing [careers@stjohns.edu](mailto:careers@stjohns.edu). For those still planning, resources are available through [SignOn.Stjohns.edu](https://signon.stjohns.edu/), including [Handshake](https://stjohns.joinhandshake.com/edu) for job and internship opportunities, career events, and more. Students can also make appointments with their Career Advisor and access resources on Canvas. More information can be found by connecting with a Career Advisor via Handshake or visiting the University Career Services [here](https://www.stjohns.edu/life-st-johns/career-services).",high
219,application fee waiver for international applicants,"Point to: ""can international applicants receive an application fee waiver for graduate programs?""",high
220,mailroom phone number,Residents can contact the University Mailroom at [718-990-6692](tel:7189906692). Visit [University Mailroom](https://www.stjohns.edu/queens-residential-campus/residence-life/university-mailroom) for the hours of operation.,high
221,campus map,,low
222,did i get in,,none
223,can i talk to someone in the financial aid department,You can contact the Department of Financial Aid at St. John's University by calling 718-990-2000 or emailing [studentfinancialserv@stjohns.edu](mailto:studentfinancialserv@stjohns.edu).,high
224,it is going to be on zoom,,none
225,css code,"Point to: ""where can i find the css profile""",high
226,i am not a student,,none
227,international student,"The information available for international students includes:

- Opportunities to work while studying through for-credit internships in accounting/finance or marketing, available via Curriculum Practical Training (CPT) for F-1 International Students.
- The ability to apply for Optional Practical Training (OPT) after completing degree requirements, allowing students to work in the U.S. for one year.
- Contact details for the Graduate Admission Office at The Peter J. Tobin College of Business: 718-990-1345, [TobinGradNYC@stjohns.edu](mailto:TobinGradNYC@stjohns.edu).
- Information on scholarships for international students, including merit-based scholarships for first-year undergraduates and various other scholarships like the Ozanam Scholars Program, Catholic Scholars Program, Fine Arts Scholarships, and Athletic Scholarships.
- Details on scholarships for transfer international students, such as the Transfer Distinction Award and University Transfer Merit Scholarships.

For more information, international students can contact the [International Student Services Office](http://www.stjohns.edu/admission-aid/international-admission/international-student-and-scholar-services) and visit the [Scholarships page](https://www.stjohns.edu/admission/scholarships/transfer-scholarships).",high
228,how do i know who my advisor is,"You can find your academic advisor by contacting the College office and faculty advisors in major departments. You can schedule an appointment, find your academic dean, and more by visiting the Student Academic Advisement page. 

<br/>If you are in the College of Liberal Arts and Sciences, you can contact the dean's office [here](https://www.stjohns.edu/academics/schools/st-johns-college-liberal-arts-and-sciences/contact). 
<br/>If you are in the College of Professional Studies, you can find advisement information [here](https://www.stjohns.edu/academics/schools/college-professional-studies/ccps-student-services/ccps-academic-advisement). 

<br/>For all other College offices, contact us at [718-990-2000](tel:7189902000) during regular office hours.",high
229,where is the library,"For St. John's University library locations and hours, visit [here](https://www.stjohns.edu/libraries/contact-us).",high
230,finals schedule,Here is the schedule for [final exams](https://www.stjohns.edu/academics/office-registrar/academic-calendar/final-exam-schedule).,high
231,unlock my account,"To unlock your account, follow the instructions provided [here](https://ithelp.stjohns.edu/support/solutions/articles/16000043317-how-do-i-unlock-my-account-for-signon-stjohns-edu-). You can also click on the **Unlock** link at the bottom of the [SignOn](https://signon.stjohns.edu/) portal and follow the provided instructions. If you need further assistance, contact the Service Desk at 718-990-5000 during business hours, Monday to Friday, from 7:30 AM to 7:30 PM.",high
